event_id,county_name,deaths_direct,injuries_direct,damage_property_num,damage_crops_num,injuries_indirect,deaths_indirect
689907,PULASKI CO.,0,0,1000,0,0,0
689910,PULASKI CO.,0,0,1000,0,0,0
693427,MAGOFFIN CO.,0,0,0,0,0,0
693428,KNOTT CO.,0,0,0,0,0,0
703397,MARSHALL CO.,0,0,0,0,0,0
703398,CALLOWAY CO.,0,0,100000,0,0,0
694330,NELSON CO.,0,0,0,0,0,0
703402,MCCRACKEN CO.,0,0,0,0,0,0
694553,LEWIS CO.,0,0,5000,0,0,0
697593,HARDIN CO.,0,0,0,0,0,0
702394,HARDIN CO.,0,0,0,0,0,0
697594,HARDIN CO.,0,0,0,0,0,0
702395,BULLITT CO.,0,0,0,0,0,0
702396,FRANKLIN CO.,0,0,0,0,0,0
702400,NELSON CO.,0,0,0,0,0,0
702399,FRANKLIN CO.,0,0,0,0,0,0
702398,FRANKLIN CO.,0,0,0,0,0,0
702397,FRANKLIN CO.,0,0,0,0,0,0
702401,ANDERSON CO.,0,0,0,0,0,0
702403,ANDERSON CO.,0,0,0,0,0,0
702402,ANDERSON CO.,0,0,0,0,0,0
702404,HARDIN CO.,0,0,0,0,0,0
702407,WOODFORD CO.,0,0,0,0,0,0
702405,NELSON CO.,0,0,0,0,0,0
702406,NICHOLAS CO.,0,0,0,0,0,0
695269,FLEMING CO.,0,0,0,0,0,0
702408,TAYLOR CO.,0,0,0,0,0,0
702409,FAYETTE CO.,0,0,0,0,0,0
696740,GREENUP CO.,0,0,2000,0,0,0
697063,CARTER CO.,0,0,2300000,0,0,0
695276,BATH CO.,0,0,0,0,0,0
695283,POWELL CO.,0,0,0,0,0,0
702410,SCOTT CO.,0,0,0,0,0,0
702411,SCOTT CO.,0,0,0,0,0,0
697043,BOYD CO.,0,0,60000,0,0,0
696734,LAWRENCE CO.,0,0,2000,0,0,0
695298,ROWAN CO.,0,0,0,0,0,0
695290,MONTGOMERY CO.,0,0,0,0,0,0
695308,ELLIOTT CO.,0,0,10000,0,0,0
697047,BOYD CO.,0,0,60000,0,0,0
697738,JACKSON CO.,0,0,0,0,0,0
697874,ROCKCASTLE CO.,0,0,0,0,0,0
698530,HANCOCK CO.,0,0,0,0,0,0
706970,BRACKEN CO.,1,0,250000,0,0,0
706951,BRACKEN CO.,0,0,0,0,0,0
706950,MASON CO.,0,0,750000,0,0,0
702373,FLEMING CO.,0,0,120000,0,0,0
711116,ROWAN CO.,0,0,50000,0,0,0
705010,LAWRENCE CO.,0,0,5000,0,0,0
704911,MORGAN CO.,0,0,1000,0,0,0
704913,MORGAN CO.,0,0,1000,0,0,0
704914,MAGOFFIN CO.,0,0,10000,0,0,0
704917,MAGOFFIN CO.,0,0,3000,0,0,0
704919,JOHNSON CO.,0,0,1000,0,0,0
704918,JOHNSON CO.,0,0,1000,0,0,0
705999,OLDHAM CO.,0,0,0,0,0,0
706000,HENRY CO.,0,0,0,0,0,0
711484,SIMPSON CO.,0,0,0,0,0,0
711486,LOGAN CO.,0,0,0,0,0,0
711487,SIMPSON CO.,0,0,0,0,0,0
718430,TODD CO.,0,0,350000,0,0,0
711488,SIMPSON CO.,0,0,0,0,0,0
711489,HART CO.,0,0,10000,0,0,0
711490,BARREN CO.,0,0,10000,0,0,0
711491,BARREN CO.,0,0,10000,0,0,0
711492,LOGAN CO.,0,0,10000,0,0,0
711493,METCALFE CO.,0,0,0,0,0,0
711494,LOGAN CO.,0,0,10000,0,0,0
711495,METCALFE CO.,0,0,0,0,0,0
723533,MUHLENBERG CO.,0,0,0,0,0,0
732317,MASON CO.,0,0,0,0,0,0
736600,JEFFERSON CO.,0,0,0,0,0,0
736601,JEFFERSON CO.,0,0,200000,0,0,0
736602,JEFFERSON CO.,0,0,0,0,0,0
736603,JEFFERSON CO.,0,0,0,0,0,0
736604,JEFFERSON CO.,0,0,0,0,0,0
736605,JEFFERSON CO.,0,0,0,0,0,0
736606,JEFFERSON CO.,0,0,0,0,0,0
736607,JEFFERSON CO.,0,0,0,0,0,0
733160,CARROLL CO.,0,0,0,0,0,0
733165,GALLATIN CO.,0,0,0,0,0,0
737276,DAVIESS CO.,0,0,0,0,0,0
736608,OLDHAM CO.,0,0,0,0,0,0
733168,KENTON CO.,0,0,0,0,0,0
736609,BULLITT CO.,0,0,100000,0,0,0
733169,CAMPBELL CO.,0,0,0,0,0,0
737279,UNION CO.,1,0,0,0,0,0
733172,BOONE CO.,0,0,3000,0,0,0
736610,TRIMBLE CO.,0,0,0,0,0,0
736611,BULLITT CO.,0,0,0,0,0,0
736612,BULLITT CO.,0,0,102000,0,0,0
736616,HANCOCK CO.,0,0,0,0,0,0
736613,JEFFERSON CO.,0,0,0,0,0,0
737281,WEBSTER CO.,0,0,0,0,0,0
736614,JEFFERSON CO.,0,0,25000,0,0,0
736615,JEFFERSON CO.,0,0,0,0,0,0
742612,HENRY CO.,0,0,85000,0,0,0
736617,JEFFERSON CO.,0,0,0,0,0,0
736618,HARDIN CO.,0,0,0,0,0,0
736619,JEFFERSON CO.,0,0,0,0,0,0
736620,JEFFERSON CO.,0,0,0,0,0,0
736621,JEFFERSON CO.,0,0,0,0,0,0
736622,JEFFERSON CO.,0,0,0,0,0,0
